"Symbol","Trade DATE","NOCP"
"FB","5/14/2019","180.730000000000"
"FB","5/13/2019","181.540000000000"
"FB","5/10/2019","188.340000000000"
"FB","5/9/2019","188.650000000000"
"FB","5/8/2019","189.540000000000"
"FB","5/7/2019","189.770000000000"
"FB","5/6/2019","193.880000000000"
"FB","5/3/2019","195.470000000000"
"FB","5/2/2019","192.530000000000"
"FB","5/1/2019","193.030000000000"
"FB","4/30/2019","193.400000000000"
"FB","4/29/2019","194.780000000000"
"FB","4/26/2019","191.490000000000"
"FB","4/25/2019","193.260000000000"
"FB","4/24/2019","182.580000000000"
"FB","4/23/2019","183.780000000000"
"FB","4/22/2019","181.440000000000"
"FB","4/18/2019","178.280000000000"
"FB","4/17/2019","178.780000000000"
"FB","4/16/2019","178.870000000000"
"FB","4/15/2019","179.650000000000"
"FB","4/12/2019","179.100000000000"
"FB","4/11/2019","177.510000000000"
"FB","4/10/2019","177.820000000000"
"FB","4/9/2019","177.580000000000"
"FB","4/8/2019","174.930000000000"
"FB","4/5/2019","175.720000000000"
"FB","4/4/2019","176.020000000000"
"FB","4/3/2019","173.540000000000"
"FB","4/2/2019","174.200000000000"
"FB","4/1/2019","168.700000000000"
"FB","3/29/2019","166.690000000000"
"FB","3/28/2019","165.550000000000"
"FB","3/27/2019","165.870000000000"
"FB","3/26/2019","167.680000000000"
"FB","3/25/2019","166.290000000000"
"FB","3/22/2019","164.340000000000"
"FB","3/21/2019","166.080000000000"
"FB","3/20/2019","165.440000000000"
"FB","3/19/2019","161.570000000000"
"FB","3/18/2019","160.470000000000"
"FB","3/15/2019","165.980000000000"
"FB","3/14/2019","170.170000000000"
"FB","3/13/2019","173.370000000000"
"FB","3/12/2019","171.920000000000"
"FB","3/11/2019","172.070000000000"
"FB","3/8/2019","169.600000000000"
"FB","3/7/2019","169.130000000000"
"FB","3/6/2019","172.510000000000"
"FB","3/5/2019","171.260000000000"
"FB","3/4/2019","167.370000000000"
"FB","3/1/2019","162.280000000000"
"FB","2/28/2019","161.450000000000"
"FB","2/27/2019","162.810000000000"
"FB","2/26/2019","164.130000000000"
"FB","2/25/2019","164.620000000000"
"FB","2/22/2019","161.890000000000"
"FB","2/21/2019","160.040000000000"
"FB","2/20/2019","162.560000000000"
"FB","2/19/2019","162.290000000000"
"FB","2/15/2019","162.500000000000"
"FB","2/14/2019","163.950000000000"
"FB","2/13/2019","164.070000000000"
"FB","2/12/2019","165.040000000000"
