Ticker,Date,Open,High,Low,Close,Adj Close,Volume
TWTR,2019-04-09,34.84,35.389999,34.810001,35.139999,35.139999,13889700
TWTR,2019-04-10,35.259998,35.27,34.509998,34.75,34.75,11648800
TWTR,2019-04-11,34.75,34.869999,34.41,34.580002,34.580002,10982700
TWTR,2019-04-12,34.669998,34.830002,34.110001,34.369999,34.369999,12713800
TWTR,2019-04-15,34.380001,35.029999,34.34,34.709999,34.709999,10248400
TWTR,2019-04-16,34.84,34.990002,34.23,34.459999,34.459999,9396300
TWTR,2019-04-17,34.73,34.900002,34.200001,34.48,34.48,9023000
TWTR,2019-04-18,34.669998,34.860001,34.32,34.400002,34.400002,9806100
TWTR,2019-04-22,34.400002,34.619999,33.82,34.389999,34.389999,19704300
TWTR,2019-04-23,36.93,40.529999,36.91,39.77,39.77,104262500
TWTR,2019-04-24,39.860001,39.950001,38.799999,39.290001,39.290001,30266900
TWTR,2019-04-25,39.259998,40.130001,38.189999,38.48,38.48,26044800
TWTR,2019-04-26,38.59,39.34,38.18,38.669998,38.669998,15270500
TWTR,2019-04-29,38.630001,39.970001,38.630001,39.779999,39.779999,19680000
TWTR,2019-04-30,39.790001,40.919998,39.650002,39.91,39.91,22912000
TWTR,2019-05-01,40,40.07,39.259998,39.290001,39.290001,14962600
TWTR,2019-05-02,39.240002,40,38.84,39.950001,39.950001,13419100
TWTR,2019-05-03,40.48,40.82,39.959999,40.799999,40.799999,15577100
TWTR,2019-05-06,39.689999,40.439999,39.450001,40.23,40.23,14517400
TWTR,2019-05-07,39.900002,40.150002,38.119999,38.619999,38.619999,19283100
TWTR,2019-05-08,38.450001,39.150002,38.330002,38.580002,38.580002,9137800
TWTR,2019-05-09,38.110001,39.02,37.915001,38.790001,38.790001,9603552
